source	target
나이쳐먹고 피시방가는 놈들은 대가리에 똥만찬 놈들임	성인이 되어서도 PC방을 이용하는 사람은 현명하지 못한 사람입니다.
위로와 격려를 호텔에서 해? 왜? 저여자도 정상은 아니구만 완전 지네 할아버지보다 나이가 더 많을듯한데 토나올꺼같은데.. 둘다 미쳤구만.. 그렇게 더러운짓은 하고 설교를 어떻게 하는거야.. 웩!	위로와 격려를 호텔에서 합니까? 저 여성분도 정상은 아니네요. 연령 차가 너무 커서 거부감이 느껴집니다. 둘 다 이해하기 어렵습니다. 그런 행동을 하고 어떻게 설교를 할 수 있는지 당혹스럽습니다.
띄울사람이 진짜 없긴 없나보다	추천할 만한 인물이 정말 없는 것 같습니다.
쑈 빼고 아무것도 없는 개돼지 정권이노 탄핵 개힘조	보여주기식 행정 외에는 실무가 없는 정권입니다. 강력하게 탄핵을 추진해야 합니다.
뭐하냐 기업이네 기업이여 기업에 돈갖다 받치는 어이없는 시키들도 문제다	무엇을 하는 것입니까? 영리 기업과 다를 바가 없습니다. 그곳에 돈을 지원하는 사람들도 문제입니다.
뜬구름 잡는 소리 하고 있네.	현실적인 근거가 없는 무의미한 이야기를 하고 있습니다.
도대체 이정권에서 무고한목숨이 얼마나죽는가	도대체 현 정권 하에서 얼마나 많은 무고한 생명이 희생되는 것입니까?
솔직히 패 죽일 수 있다 정당방위 상황에서 어디를 어떻게 쳐서 병신 만들지 시뮬레이션 많이 해보노	솔직히 치명적인 물리적 타격을 가할 수도 있습니다. 정당방위 상황에서 어떻게 신체적 위해를 가할지 구체적으로 생각해 보곤 합니다.
저남자랑 섹스하고싶다 쎅스쌕스!!	저 남성과 성적인 관계를 맺고 싶습니다.
보지는 돈 벌어서 좋고꼬추는 섹스해서 좋고서로 윈윈인데 이게 왜 불법이냐	여성은 돈을 벌어서 좋고 남성은 성관계를 해서 좋으니 서로에게 이득인데, 이것이 왜 불법입니까?
빍ㅔ이츠 공산당이다	빌 게이츠는 공산주의자입니다.
7인의 수습위원회? 일제시대 신사참배를 종교적행위가 아니라 국민의례라고하면서 신사참배 합헌 한것과 같은 꼴이네..7인의 이름은 영원히 역사에 수치로 기록되리라.	7인의 수습위원회입니까? 이는 일제강점기 신사참배를 합헌 판결을 내린 것과 다름없습니다. 7인의 이름은 역사에 영원히 수치로 기록될 것입니다.
항상 패배감에 쩔어있음.그렇다보니 상대하기 귀찮아서 피하는 것을 지들이 잘나서 이긴줄 알고 좆도 안되는 승리감과 도취감에 빠짐.(똥을 기준으로 사람들은 똥이 더러워서 피하는 것이지만, 똥은 지가 사람들에게 공포를 가져오는 존재라고 착각하는 것임.)	항상 패배감에 찌들어 있습니다. 그렇다 보니 상대하기 귀찮아서 피하는 것을 본인들이 잘나서 이긴 줄 알고 보잘것없는 승리감과 도취감에 빠져 있습니다. (오물을 기준으로 사람들은 오물이 더러워서 피하는 것이지만, 오물은 자신이 사람들에게 공포를 가져오는 존재라고 착각하는 것입니다.)
후팔 가사가 저게뭐노	도대체 가사 내용이 저것이 무엇입니까?
보석 같아서 아껴서 꽁꽁깜춘다는데 여자가 돌맹이냐 사람이지 보석이면 더 보여주면서 자랑하고 싶지 않냐 왜 눈만 보여줘	보석 같아서 아껴서 숨긴다는데 여자가 물건입니까? 사람입니다. 보석이라면 더 보여주면서 자랑하고 싶지 않겠습니까? 왜 눈만 보여줍니까?
쌔끼들 저 손 좀 봐라ᆢᆢ 바짝 쫄기는ㅋㅋ	저 사람들의 손을 보십시오. 잔뜩 겁을 먹었네요.
과학이고 증거고 뭐고 다 팔아먹었구만	과학이나 증거나 모든 것을 무시하고 있군요.
저기다가 밤꽃냄세 나는액채를 살며시 발라줘라 그럼 냄세 더욱 ㅅㅌㅊ 될꺼다 이기야	저곳에 불쾌한 냄새가 나는 액체를 살짝 발라보십시오. 그러면 상태가 더 좋아질 것입니다.
진짜 버러지 기생충이다사회암이다인권/복지고 나발이고 저런것들은 삼청교육대에서 정신 개조가 필요하다	정말 벌레나 기생충 같은 존재입니다. 사회의 해악입니다. 인권이나 복지는 상관없이 저런 사람들은 강제적인 교육 기관에서 정신 개조가 필요합니다.
가정환경이 도대체 어때야만 감형없이 제대로된 처벌을 할까?? 불우하고 폭력적이 환경에서 자라면 지자식 때려죽여도 된다는 법이 따로 있는거임???	가정환경이 도대체 어떠해야 감형 없이 제대로 된 처벌을 할까요? 불우하고 폭력적인 환경에서 자라면 자신의 자식을 죽여도 된다는 법이 따로 있는 것입니까?
욱일기에 침략 당한적도 없고 일본에게 나라 팔아먹고 일본군이 되어서 욱일기 같이들고 아시아정벌을 같이한 새끼들이 왜 저런 법을 만드노 ???욱일기에 언제 당했다고 .........욱일기들고 일본군복입고 가해하고 다녔는 족속들이 신분세탁하노 ???	욱일기에 침략당한 적도 없고 일본에 나라를 팔아넘기며 일본군이 되어 욱일기를 들고 정벌에 참여했던 이들이 왜 저런 법을 만듭니까? 욱일기에 언제 피해를 입었다고 그럽니까? 욱일기를 들고 일본 군복을 입고 가해를 했던 집단이 신분 세탁을 하는 것입니까?
주적이라 말못하는 놈처럼 어버버하네ㅋㅋ	주적이라고 말하지 못하는 사람처럼 말을 제대로 못 하고 있군요.
극극극극극소수를 위해 너무 많은 인력과 예산낭비. 탁상행정의 끝판이다.	극소수를 위해 너무 많은 인력과 예산을 낭비하고 있습니다. 탁상행정의 전형입니다.
시발 일게이들 이제 러브인 아시아 강제로 찍게되노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	이제 특정 커뮤니티 이용자들은 국제결혼 프로그램을 강제로 찍게 되겠군요. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아따 제목만봐도 키부니 놈딱 조아지놐ㅋㅋㅋㅋㅋㅋ 담에 또 마주치면 후장에 우산 접었다폈다 하는거 잊지말아라익이	제목만 봐도 기분이 매우 좋아집니다. 다음에 또 마주치면 신체 특정 부위에 우산을 사용하는 가혹한 행위를 잊지 마십시오.
일단 후장은 뚫어라 고분해진다이기	일단 신체 특정 부위에 물리적 위해를 가하십시오. 그러면 순종적으로 변할 것입니다.
정상이냐? 헐 비정상을 그냥 다문화식으로 인정해달라하는것도아니고	정상입니까? 비정상을 그냥 다문화라는 이유로 인정해달라고 하는 것도 아니고 당황스럽습니다.
후팔 1호선이노	도대체 1호선 상황이군요.
개좆같네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ	상황이 무척 불쾌해서 웃음만 납니다. ㅋㅋㅋㅋㅋㅋㅋㅋ
단속안하나 이씨발	단속을 하지 않습니까? 정말 답답하네요.
으니좆팔ㅋㅋㅋㅋㅋ 저게뭐놐ㅋㅋㅋㅋ	도대체 저것이 무엇입니까? ㅋㅋㅋㅋ
어디가서 지가 다리짤라놓고 상해 당했으니 참전 용사해달라는 꼴과 뭐가 틀린가 군대가 개인적인 일탈까지 법 어겨가며 지켜야되냐 잘했다 국방부	어딘가에서 본인이 다리를 직접 다쳐놓고 상해를 당했으니 참전 용사로 인정해달라는 경우와 무엇이 다릅니까? 군대가 개인적인 일탈까지 법을 어겨가며 지켜줘야 합니까? 국방부는 잘했습니다.
용돈 받아서 해외여행 다니고 싶다니... 남편은 버리고 혼자 다니겠단 소린가 ㅡㅡ;;	용돈을 받아서 해외여행을 다니고 싶다니, 남편은 두고 혼자 다니겠다는 뜻입니까? ㅡㅡ;;
오히려 지역카페 매니져,스텝직에있는 아지매들이 카페 카페언급에 더 조심스럽고 예민하다. 노인증주작썰ㅈㅎ	오히려 지역 카페의 매니저나 스태프 직책에 있는 여성분들이 카페 언급에 대해 더 조심스럽고 예민합니다. 인증 없는 조작된 이야기일 뿐입니다.
우리가 납치했나왜 가고 싶어 할 사람이 있을 거라는 생각을 하냐가고 싶으면 중국으로 가서 넘어 갈수 있다 이년아아구창 강냉이 다 털리게 패고 싶네	우리가 납치했습니까? 왜 가고 싶어 할 사람이 있을 것이라고 생각합니까? 가고 싶으면 중국을 통해 넘어갈 수 있습니다. 이 여성분아, 입 부위를 매우 강하게 때려주고 싶네요.
