source	target	action	severity	category	reason	origin_tags
일안하는 시간은 쉬고싶어서 그런게 아닐까	일안하는 시간은 쉬고싶어서 그런게 아닐까	0	0	NORMAL	[무해] -> 일상적인 의문 제기	clean
아동성범죄와 페도버는 기록바 끊어져 영원히 고통 받는다. 무슬림 50퍼 근친이다. 10 16까지 IQ 떨어지고 출산 위험은 400% 다.	(차단된 문장입니다)	1	5	RELIGION	[무슬림] -> 특정 종교 집단에 대한 근거 없는 비하 및 혐오 조장으로 차단	종교
루나 솔로앨범 나왔을 때부터 머모 기운 있었음 ㅇㅇ Keep o doin 진짜 띵곡임 꼭 들어보셈	루나 씨의 솔로 앨범 때부터 당당한 기운이 느껴졌습니다. 활동을 지속해 주세요. 정말 좋은 곡이니 꼭 들어보십시오.	2	1	COMMUNITY/SLUR	[머모] -> 특정 여초 커뮤니티 용어(대모) 및 통신체 정제	clean
홍팍에도 어버이연합인가 보내요 뭐 이런뎃글 있는데 이거 어버이연합측에 신고하면 그쪽에서 고소 가능하냐?	홍팍에도 어버이연합 관련 게시글이 올라오네요. 이를 해당 단체에 신고할 경우 법적 대응이 가능한지 궁금합니다.	2	1	SLUR	[홍팍] -> 커뮤니티 축약어 및 구어체 표현 정제	clean
아놔 왜 여기 댓들은 다 여자들이 김치녀라고 먼저 불렸다! 여자들은 더 심하게 그런다! 이렇게 2개로 싸우냐.. 내가 볼 땐 둘다 나쁜 말 그 이상도 이하도 아닌데	아, 왜 이곳 댓글들은 서로 성별 비하를 하며 싸우는 것입니까? 제가 보기에는 양측 모두 부적절한 언행을 하고 있는 것 같습니다.	2	2	GENDER/SLUR	[김치녀] -> 여성 비하 용어 및 거친 어조를 정중하게 순화	여성/가족
고향가서 피방가면 동네 부럴 친구들이랑은 뭐 거르는 거 없이 이야기하니까 막 말하게 되더라 당연히 키보드를 치거나 그러지는 않는데 말하는게 많이 거칠어지긴 해 반성해야겠네	고향에서 친구들과 대화하다 보면 말투가 거칠어지곤 합니다. 온라인에서는 조심하지만 스스로 반성하게 되네요.	2	1	SLUR	[부럴] -> 부적절한 신체 비유 단어 및 구어체 정제	clean
예수 십새끼 개새끼 창녀아들 애비실종 가정교육 못받은 무뇌충 허언증 정신병자 사기꾼 망상 근본없는 병신 장애인 짱개 흑인 이슬람 전라도랑 동급	(차단된 문장입니다)	1	5	RELIGION/RACISM/REGIONAL	[십새끼, 짱개, 전라도] -> 종교, 인종, 지역을 망라한 극단적 모욕 및 혐오로 차단	인종/국적, 지역, 종교
나이쳐먹고 피시방가는 놈들은 대가리에 똥만찬 놈들임	나이가 들어서도 PC방에 가는 사람들은 생각이 부족한 사람들입니다.	2	2	SLUR/AGE	[나이쳐먹고, 똥만찬] -> 연령 비하 및 모욕적 표현 순화	악플/욕설
출산청같은 소리하네. 우리나라 계집들 다 의무적으로 군대보내면 해결될 일이다. 정신개조부터 시켜야지. 지할꺼 다하고 무슨 애를 낳고 무슨 자식교육을 하냐?	(차단된 문장입니다)	1	4	GENDER	[계집들] -> 여성에 대한 집단적 비하 및 강압적인 태도로 차단	여성/가족
재능 ㅂㅅㅌㅊ노 ㅋㅋㅋㅋㅋ나도 합성배우고싶다이기	재능이 정말 뛰어나시네요. 저도 합성 기술을 배우고 싶습니다.	0	2	COMMUNITY/SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	clean
