전라도는 자살이답	(차단된 문장입니다)	1	5	REGIONAL	[전라도는 자살이답] -> 특정 지역 비하 및 극단적 선택 종용으로 차단	지역
외않만나줘는 사이언스	왜 안 만나 주냐고 불평하는 것은 전형적인 모습이네요.	2	2	SLUR	[외않만나줘, 사이언스] -> 조롱 어투 순화	악플/욕설
한남감성 ㅇㅈ	한국 남성들의 감성 인정합니다.	2	4	GENDER	[한남감성] -> 남성 비하 멸칭 순화	남성
외모는 정말로 백인미만잡이구나	외모는 정말로 특정 인종이 가장 뛰어난 것 같네요.	2	3	RACISM	[백인미만잡] -> 인종 차별적 발언 순화	인종/국적
혼자살아라 썅년들아 쒸불룐들	여성분들, 그냥 혼자 사세요.	2	4	GENDER	[썅년들아 쒸불룐들] -> 여성 비하 및 심각한 욕설 순화	여성/가족
신고는 자기 판단이니 뭐	신고는 자기 판단이니 뭐	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
국내에서 이슬람은 안전하고 선한 사람들이다 라고 선동하는 놈들은 걔들 수가 적으니까 숨죽이고 있는 이슬람들을 보고 있는거지할랄단지 들어오거나 하면 진짜 확 불질러버려야 함	국내에서 특정 종교인이 안전하고 선량하다고 주장하는 사람들은 그들의 세력이 약할 때의 모습만 보는 것입니다. 그들의 거점이 생기거나 하면 정말 단호하게 대처해야 합니다.	2	3	RELIGION	[이슬람, 확 불질러버려야] -> 종교 비하 및 폭력적 묘사 순화	인종/국적, 종교
누가 선동한 걸까 진짜루 시발..	도대체 누가 선동한 것입니까? 정말 화가 나네요.	2	1	SLUR	[진짜루 시발] -> 욕설 정제	악플/욕설
군대갔다오면 사람되긴합니다	군대 갔다 오면 성숙해지긴 합니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
딴거 있냐 행동이 병신이니깐 그런듯 하다	별다른 이유가 있겠습니까? 행동이 어리석으니 비난을 받는 것이죠.	2	2	SLUR	[병신이니깐] -> 욕설 및 비하 표현 순화	악플/욕설
아 조팔 2.9도 큰거 였노ㅋㅋㅋ신생아 양잦보다 작노 재기해라	(차단된 문장입니다)	1	5	SLUR	[염산붓고, 배에 창 꽂으면] -> 극단적 폭력 및 살해 선동으로 차단	남성
찔러달라고 저러는거노? 가서 염산붓고 디룩디룩 지방낀 배에 창 꽂으면 되는 쀼젤이노 ^문^	성소수자들도 군 복무 방식을 고민해봐야 합니다. 여성 군인들과 함께 근무하게 하는 것도 하나의 방법이 되지 않을까요?	2	3	LGBTQ	[트렌스젠더, 여군막사, ~뭐?] -> 성소수자 관련 공격적 제안을 완곡하게 순화	악플/욕설
트렌스젠더들도 군대보내야함 여군막사로 보내서 여군부사관 밑에서 일해라라고 하면 좋지 뭐?	무엇인가요? 다리가 불편해서 의족을 사용하시는 건가요?	2	1	COMMUNITY	[뭐노, ~노?] -> 커뮤니티식 비꼼 순화	성소수자
뭐노? 다리 잘려서 의족 찼노?	부럽네요.	2	1	COMMUNITY	[이기] -> 커뮤니티 말투 순화	기타 혐오
부럽다이기	(차단된 문장입니다)	1	5	LGBTQ	[더러운 새끼들 죽여버려야, 똥꼬, 에이즈 창궐] -> 성소수자 혐오 및 살해 위협으로 차단	clean
아 좆팔 더러운 새끼들 죽여버려야하노 공중위생의식이 없노 좆팔것들 똥꼬 안죽이면 에이즈가 제2의 흑사병처럼 창궐하는거 아니노 우웨에에ㅔ엑	전날 영화 엑소시스트를 보고 영감을 받았나 보네요.	2	1	SLUR	[삘받았네] -> 비속어 순화	성소수자
전날 엑소시스트 보고 삘받았네 ㅋㅋㅋㅋ	중동 지역의 문화나 가치관이 우리와는 많이 다른 것 같습니다. 그래서 중동 난민 수용에 대해서는 적극적으로 반대합니다.	2	3	RACISM	[중동것들은, 명예로운가봄, 결사반대다] -> 특정 지역 비하 및 공격적 어투 순화	clean
중동것들은 사람죽이는게 명예로운가봄 ㅋㅋ 그러니 중동 난민입국 결사반대다	원주민을 제외하고 모두 미국에서 나가라는 말인가요?	0	0	NORMAL	[오탈자 교정] -> 원문 유지	인종/국적
인디언빼고 모두 미국에서 나가란 말인가	전라도 사람들은 역시 전라도 사람답게 행동하네요.	2	3	REGIONAL	[전라도가 전라도했네] -> 특정 지역 비하 및 조롱 순화	clean
전라도가 전라도했네 전라도 전라도	돈 벌면 지하실 하나 마련하고 싶네요.	2	1	COMMUNITY	[~노] -> 커뮤니티 말투 순화	지역
돈벌면 지하실 하나 사놔야겠노	개신교 정책이 정말 이해가 안 가네요.	2	2	RELIGION	[미친 개신교] -> 종교 비하 멸칭 순화	clean
미친 개신교	누가 이분 이름을 착각해서 우스꽝스럽게 부른 걸 보고 정말 많이 웃었습니다.	2	1	SLUR	[낙지퍽퍽, 존나 뿜었었는데, 시발] -> 비속어 및 자격적 표현 순화	종교
누가 얘보고 이름헷갈려서 낙지퍽퍽이라고 한거보고 존나 뿜었었는데 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	특정 인물의 음악 활동을 중단시키기 위한 프로젝트를 진행합시다.	2	2	SLUR	[다신못하게, ㄱ ㄱ] -> 공격적 의도 정제	clean
신사동호랭이 음악 다신못하게 프젝 ㄱ ㄱ	부검을 통해 제발 억울함을 풀어주었으면 좋겠습니다. 부검 전에 필요한 조치를 취하고 엄정하게 수사하여 해결합시다.	2	2	SLUR	[찜질도 해주고, 몽둥이가 약이라던데] -> 폭력을 암시하는 비유적 비하 순화	악플/욕설
부검으로 제발 억울함을 풀어주자 부검전에 찜질도 해주고 제발 몽둥이가 약이라던데 처방해서 부검하자	성소수자들이 문제라고 생각합니다. 그들이 선동해서 이 모든 일이 시작된 것이니까요.	2	3	LGBTQ	[레즈새끼들, 씨발련들] -> 성소수자 비하 멸칭 및 욕설 순화	악플/욕설
레즈새끼들이 문제임 씨발련들이 선동해서 시작한거	한국인이 미국 법으로 소송을 제기할 수도 있는 건가요? 잘 몰라서 여쭤봅니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	여성/가족, 성소수자
한국인이 미국법으로 소송을 걸 수도 있나요? 잘 몰라서..	해외 영상물에서 갑자기 성적으로 비권장되는 장면이 나오면 정말 기괴하고 불편합니다. 사람들에게 그런 행위를 강요하는 것 같아 싫네요. 성소수자가 많다고 하니 정말 조심해야겠습니다.	2	3	LGBTQ	[양키야동, 후장, 재기함, 게이] -> 인종/성소수자 비하 멸칭 및 저속한 표현 순화	clean
양키야동보면 뜬금없이 후장으로 하는거 나와서 기분 재기함. 사람한테도 후장 강요하잖노 극혐. 양키들 10명에 1-2명 게이라고 한다 조오오오심해	외모가 뛰어난 여성이 많은 사회에서, 특정 집단에 속할 정도의 사람이라면 외모적으로 위협감을 줄 수도 있을 것 같습니다. 아이들이 사람을 보는 눈이 정확하다고들 하니까요.	2	4	GENDER	[워마드, 무서워하잖아] -> 특정 집단 비하 및 외모 비하 맥락 순화	성소수자
사실인게 여자는 이쁜애들이 너무많으니까 워마드정도 올정도면 그냥 밖에 길 걸어다녀도 유치원생들도 좀 ....무서워하잖아 .....애들이 보는눈이 그렇게 정확하데	남성들에게도 특정 휴가를 부여하는 것에 대해 긍정적으로 생각합니다. 정말 좋은 기회가 될 것 같네요.	2	4	GENDER	[개이득] -> 여성 정책을 비꼬는 맥락의 비속어 순화	여성/가족
이거 완전 찬성. 남자도 금요일에 생리휴기 개이득 ㄹㅇ ㅋㅋㅋ	정치 게시판 글보다 훨씬 재미있네요. 더 올려주세요.	2	2	AGE	[존나재밋다, 틀딱, 최태민 백숙] -> 비속어 및 연령 비하 멸칭 순화	여성/가족
정게글보다 존나재밋다 더올려라 틀딱 최태민 백숙	왼쪽이 훨씬 나아 보입니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	연령
왼쪽이 훨씬 나은데	말년에 성소수자 관련 소식을 접하니 정말 당황스럽네요.	2	3	LGBTQ	[젠장, 게이가 전두엽을 강타] -> 성소수자 비칭 및 비속어 섞인 어투 순화	clean
젠장 말년에 동성이라니!! 게이가 전두엽을 강타하다니!!	어떻게 아셨나요? 사실 제가 준비하고 있는 장르입니다. 남성들끼리 교감하는 소재의 스포츠 만물을 보다가 취향에 맞지 않아 배구 관련 이야기를 구상하고 있어요. 기대해 주세요.	2	4	GENDER	[자지들 서로 돈고 빨아주는 땀내나는, 보지들] -> 성적 비하 묘사 및 특정 성별 비칭 순화	성소수자
^느^ 우째알아뿟노 사실 내가 준비중인 장르다이기 자지들 서로 돈고 빨아주는 땀내나는 스포츠물 보다가 비위 상해서 배구 관련 스토리 구상하고있노 이거 알아버렸으니 보지들 다른 스포츠물 기대하겠노	정말 속이 시원하네요.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	남성
속은 시원하네	아이들을 많이 낳아서 대도시에 많이 거주한다는 것이군요. 번식력이 매우 뛰어난 모양입니다.	2	3	AGE	[애새끼들, 토끼수준] -> 특정 집단(또는 자녀) 비하 및 동물 취급 비유 순화	clean
애새끼들 많이 낳아서 서울 부산에 많이 산다는거.번식력이 토끼수준인듯	부적절한 행동을 한 사람을 엄격히 처벌하는 것은 당연합니다. 그로 인해 피해를 본 가족들의 인권부터 생각해야죠. 인권 단체들은 피해자가 아닌 가해자의 인권을 우선시하는 것 같아 우려스럽네요.	2	2	SLUR	[처죽이는건, 여성인권이 아니라 범죄자인권] -> 과격한 표현 및 특정 진영 비판 정제	연령
간통년 돌로 처죽이는건 당연지들이 한 간통으로인해 피눈물날 남편과 자식들인권부터생각해야지 인권단체들은 여성인권이 아니라 범죄자인권을 생각해주려고하네	웃음 참느라 정말 힘들었네요. 기운 얻고 갑니다.	2	1	COMMUNITY	[어케참았노, 이기야, 퍄퍄] -> 커뮤니티 말투 순화	여성/가족
웃음 어케참았노? 기받아간다 이기야 퍄퍄	그 나이에 신체적 기능이 정상적이지 않다면 문제가 있는 것 아닙니까?	2	2	AGE	[꼬추 안서면, 사람새끼냐] -> 연령 비하 및 신체 기능 비하 순화	clean
저 나이에 꼬추 안서면 사람새끼냐	인기 있는 만화 못 보셨나요? 이렇게 타인을 비난하는 노인들의 모습이 나중엔 당신의 미래가 될 수 있습니다.	2	3	AGE	[틀딱들] -> 연령 비칭 순화	연령
인기글의 만화 안봤냐?이렇게 욕하는 틀딱들의 모습이 니 미래다,	한국의 일이라고 생각했는데, 특정 지역의 일이었군요. 알겠습니다.	2	3	REGIONAL	[전라도 외국] -> 특정 지역 비하 및 배척 표현 순화	연령
응 우리 자랑스런 대한민국 아니고.전라도 외국 일이야~ ㅅㄱ	저 사람이 방문하면 자국민에 대한 외국인의 범죄에 대해 어떻게 생각하는지 꼭 질문해보고 싶네요.	2	3	RACISM	[저년, 필리핀새끼들] -> 여성 비칭 및 특정 국적 비칭 순화	지역
저년오면 필리핀새끼들이 한국인 살인한거에대해 어떻게 생각하냐고 질문해봐라	정말 답답하네요. 특정 지역처럼 상황이 악화될까 우려스럽습니다. 이런 현상은 사회적 격차를 더 심화시키지 않을까요? 저런 사람들이 주변에 많은 곳에서는 살고 싶지 않을 것 같습니다.	2	3	RACISM	[지랄도 풍년, 태국처럼 창궐, 저런애들] -> 특정 국가 비하 및 비속어 사용 어투 순화	인종/국적
