성병 걸릴 확률: 똥꼬충>>>>>>(넘사벽)>>>>>>>(에이즈의 벽)>>>>>>> 한남과 섹스>>>>>>>>넘사벽>>>>>>>>>> 한남과 섹스해본적 있는 바이와 레즈의 섹스>>> 레즈	성병에 걸릴 확률이 성적 소수자나 남성들과의 관계에서 훨씬 높다는 주장이네요. 하지만 성병 예방은 누구에게나 중요한 문제입니다.	2	4	LGBTQ	[똥꼬충, 에이즈의 벽] -> 성소수자 비하 멸칭 순화	남성, 성소수자
정규직으로 제일 빡센 일 시키면 되지 뭐~^^	정규직으로 제일 힘든 일 시키면 되지 뭐~^^	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
잇이건 진짜 첨들어 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	이건 진짜 처음 들어 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
무서우면 재기후장에 들가서 숨어라이기	무서우면 안전한 곳에 들어가서 숨으세요.	2	2	SLUR	[재기후장에, 숨어라이기] -> 고인 모독 및 커뮤니티 말투 순화	악플/욕설
씨발 홍어 새끼들 진짜 싫다................이제는 싫다는 말도 못하노?,,,,,,,	특정 지역 사람들이 정말 싫습니다. 이제 싫다는 말도 못 하나요?	2	3	REGIONAL	[홍어 새끼들, 못하노] -> 지역 비하 및 커뮤니티 말투 순화	지역
내 주변에 전에 다니던 직장에서 알게된 탈북자 있는데 러시아어 통역하는데 월급 나보다 많았다. 거기에 지원금 까지 나오겠지 집도 공짜로 주고 시발 부러움	주변에 알게 된 북한 이탈 주민이 있는데 러시아어 통역 업무를 하며 수입이 나보다 많았습니다. 정착 지원금에 주거 지원까지 받는 것을 보니 부러운 마음도 드네요.	2	1	SLUR	[시발] -> 욕설 제거	악플/욕설
저게 왜 AV스눕 짤이냐? ㅋㅋㅋㅋ	저 이미지가 왜 성인물 관련이라고 하는 것인지 알 수 없네요.	2	1	SLUR	[AV스눕 짤] -> 특정 성인물 사이트 언급 순화	악플/욕설
오지랖은... 글고 솔직히 말해서 실제로 오바마 정도 수입한다고하면 웬만한 나라들은 쌍수들어 환영하겠다. 지들도 트럼프 당선되기 전까지는 조옷빠지게 빨았으면서.	불필요한 참견은 자제합시다. 만약 전직 대통령 정도의 경제력이 보장된다면 어느 나라든 환영할 것입니다. 과거에는 우호적인 태도를 보였으면서 정치적 상황에 따라 태도를 바꾸는 것이 안타깝네요.	2	2	SLUR	[조옷빠지게 빨았으면서] -> 저속한 비유 표현 순화	악플/욕설
파퀴새끼랑 결혼해서파퀴로 끌려가집주변 100m 도 못 벗어나게말 그대로 성노예가 되어 살면그제서야 자신이 무슨 실수를 했는지 깨달을 듯?	특정 국가 사람을 비하하며 그와의 결혼을 비극적인 결과로 묘사하는 시각이 있군요. 인권 침해와 성 노예 생활을 운운하며 비난하는 것은 매우 부적절합니다.	2	3	RACISM	[파퀴새끼, 성노예] -> 인종 비하 멸칭 및 혐오 선동 순화	인종/국적
제발 행동으로옮겨서 틀딱새끼들 면상에 빵꾸낫으면좋겟다 그	부적절하게 행동하는 노인분들에게 물리적 위협을 가하고 싶다는 표현은 매우 위험합니다.	2	4	AGE	[틀딱새끼들 면상에 빵꾸] -> 연령 비하 및 폭력적 위해 예고 순화	연령
흉자들 진심 도와주면안됨 ㅋㅋㅋㅋㅋ 보지말안듣고 대가리깨져도 한남충 못잃어련들 뭣하러 도와줌	부적절한 사고방식을 가진 일부 여성들을 돕는 것은 무 의미합니다. 본인의 삶에 집중하십시오.	2	4	GENDER	[흉자들, 한남충 못잃어련들] -> 특정 집단 비하 멸칭 및 커뮤니티 말투 순화	여성/가족, 남성
젠신병자들 성형정보 공유까펜가보노 잘왔다이기야노	특정 커뮤니티 이용자분들 성형 정보를 공유하는 곳을 찾으시나요? 환영합니다.	2	3	LGBTQ	[젠신병자들, 왔다이기야노] -> 성소수자 비하 및 커뮤니티 말투 순화	성소수자, 기타 혐오
총학생회랑 총여학생회는 왜나눠져있는건가요? 남녀를 왜그리나눠서 분쟁을 만드려하는지	총학생회와 여학생회로 분리되어 활동하는 이유가 무엇인가요? 성별로 나누어 갈등을 조장하기보다는 통합된 운영이 필요해 보입니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
베트남설리 젖이 너무 커서계속 가슴골 모자이크네 씨발교육방송 클라스	특정 출연자의 신체 일부가 부각되는 장면이 자극적으로 묘사되어 불편하네요. 공적인 방송 성격에 맞지 않는 것 같습니다.	2	2	SLUR	[베트남설리 젖, 모자이크네 씨발] -> 특정 인물 신체 대상화 및 욕설 순화	여성/가족
끝까지싸워서 꼭이겨라 맘충들은 아예싹을잘라야한다	정당하게 대응하여 결실을 맺으십시오. 무례한 일부 부모님들에 대한 엄격한 대처가 필요하다는 말씀에 공감합니다.	2	3	GENDER	[맘충들, 싹을잘라야한다] -> 여성 비하 및 공격적 표현 순화	여성/가족
애비는 패야재맛 ^느^	아버지에 대한 불만을 과격하게 표현하고 계시네요.	2	4	GENDER	[애비는 패야재맛] -> 남성 비하 멸칭 및 패륜적 표현 순화	남성
무식해서 그렇다. 머구 무식하고 답답한 사고방식 가진 인간들 많다	무지해서 그렇습니다. 특정 지역 사람들의 사고방식이 막혀 있고 답답하게 느껴질 수 있습니다.	2	3	REGIONAL	[머구 무식하고] -> 특정 지역 편견 및 비하 순화	지역
항문성교하다귀두에콩나물걸려나오는거아니냐	(차단된 문장입니다)	1	5	LGBTQ	[항문성교, 귀두에콩나물] -> 저속하고 혐오적인 신체 묘사로 차단	성소수자
촌놈들은 답이없어요;;에휴	지방 출신 사람들은 때때로 이해하기 어려울 때가 있네요. 정말 안타깝습니다.	2	2	REGIONAL	[촌놈들] -> 지역 비하 멸칭 순화	지역
와 그래프 앵나 좆같다	와 통계 자료가 정말 보기 불편하네요.	2	1	SLUR	[그래프 앵나 좆같다] -> 저속한 표현 정중하게 순화	악플/욕설
씨발 전라도 팡팡 터지는구나 ㅋㅋㅋ	특정 지역의 상황이 정말 숨 가쁘게 전개되고 있네	2	1	SLUR	[씨발, 팡팡 터지는구나] -> 욕설 및 자극적 표현 순화	지역
이노무~~~ 홍어 쉐끼드을~~~ 청정 감자국에 홍어 악취 배기게 하지말고 써억 꺼져라 ~~	특정 지역 사람들은 다른 청정 지역에 피해를 주지 말고 물러나십시오.	2	3	REGIONAL	[홍어 쉐끼드을, 악취] -> 지역 비하 및 혐오 표현 순화	지역
강간은 이해하는데 목사개끼들 왜 똥까지 먹이는애들 많은거냐??? 왜구롤까!????	종교적 지도자가 부적절한 행위를 강요하는 상황이 정말 이해되지 않네요. 왜 그런 일이 벌어지는 것일까요?	2	3	RELIGION	[개끼들, 똥까지 먹이는] -> 종교인 비하 및 저속한 상황 묘사 순화	종교
서울 특징 계집애같은거 좋아해서 게이짓까지함	특정 도시는 선호하는 스타일이 다소 독특하여 성적 지향이 다른 것처럼 보일 수도 있겠네요. 지역적 특색이 흥미롭습니다.	2	3	REGIONAL	[서울 특징, 계집애같은거, 게이짓] -> 성적 지향 및 지역 비하 순화	성소수자, 지역
애초에 한국여자란 몸섞는거자체가 위험하다이년들은 수틀리면 강간당했다함	상황이 좋지 않을 때 태도를 바꾸는 일부 사람들과 깊은 관계를 맺는 것은 신중해야 합니다.	2	3	GENDER	[한국여자란 몸섞는거자체가 위험] -> 특정 성별 비치 및 비하 순화	여성/가족
도긴개긴이네 ㅋ여자들이 진짜 선동에 쉽게 넘어가긴 함개빡대가리 족속이라 그런가종교권력이 오지긴 하지	여성들이 선동에 취약하고 지적인 능력이 부족하다는 편견이 담긴 의견이군요. 종교적 권력 또한 과도하게 작용하고 있는 것 같습니다.	2	4	GENDER	[도긴개긴, 개빡대가리 족속] -> 여성 비하 순화	여성/가족
일본 걱정하는 화장실 휴지신문 아닌가?	타국의 상황만 걱정하는 신뢰도가 낮은 언론사 아닌가요?	2	2	SLUR	[화장실 휴지신문] -> 언론사 비하 비유 순화	악플/욕설
쫌...아...목사를 하지말던가..ㅜㅜ 왜 굳이...	정말이지 성직자로서의 자격이 의심되는 행동을 하지 말았어야 합니다.	2	2	RELIGION	[목사를 하지말던가] -> 종교인 비난조 어투 순화	종교
그냥 인도네시아로 가던가..왜 굳이 한국까지 와서 저지랄임	그냥 본국으로 돌아가십시오. 왜 한국에 와서 무례한 행동을 하는지 모르겠습니다.	2	3	RACISM	[인도네시아로 가던가] -> 외국인 배타적 태도 및 비하 순화	인종/국적
'주변 cctv 추적하고 재가 이용한 가게 카드내역 추적해서'아니 좀 이해가 안되는게 저럴 시간에 범인을 잡는게 맞는거 아님?왜 수사력을 애먼 목격자 찾는데 허비함?	수사력을 애먼 목격자 찾는 데 허비하는 것이 비효율적으로 보여 의문이 듭니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	악플/욕설
공정한 세상이왓네.. 역시 촛불정부 ... 토착왜구 진짜왜구 골통목사 골통 교수 골통국개의원 다꺼져 선거때보자..	공정한 세상이 왔네요. 시민들의 목소리가 반영되는 정부의 모습이 고무적입니다. 정치인이나 종교인들 모두 책임을 다합시다.	2	2	SLUR	[토착왜구, 골통] -> 정치적 비칭 순화	인종/국적
김문수 가즈아!!!!!!!!!!!!!!!!!!!!!!!!!무적권 자유 한국당만 뽑느다	김문수 가즈아! 무조건 특정 정당만 뽑는다	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
코로나는 하나님이 회개하라고 주어진 시간이라고 생각합니다. 비록 모임금지와 예배를 드리지 못하는 박해의 시기를 견디고 있지만 초대교회의 사도들과 성도들의 신앙을 본받아 견디고 승리하면 반드시 좋은 날이 올거라고 생각합니다.	코로나는 하나님이 주시는 시간이라고 생각합니다. 시련을 견디며 신앙을 지키는 모습에 응원을 보냅니다.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
하다하다 이제 별 놈들이 다 설쳐데네. 나라 꼬라지 잘 돌아간다.	참 사회 곳곳에서 무례한 사람들이 설쳐대는군요. 세상이 어떻게 돌아가려는지 모르겠습니다.	2	2	SLUR	[별 놈들, 꼬라지] -> 비하 표현 순화	악플/욕설
댓글에 급식이 판을치노	댓글에 학생들이 너무 많은 것 같네요.	2	1	AGE	[급식이 판을치노] -> 연령 비하 및 커뮤니티 말투 순화	연령
모르면 몰라도 더 심했을거다. 만약 병신같은 일게이가 홍팍이나 오유 새끼들, 또는 이것과 마찬가지로 여초 낙태충 년들한테 이 짓을 당했으면 ㅋㅋㅋㅋ 시발 상상만 해도 재밌네 ㅋㅋㅋㅋㅋㅋ	만약 부적절한 사람들이 해를 입는 상황을 목격했다면 그것을 즐거워하는 사람들이 분명 있었을 것입니다. 그런 갈등 상황이 안타깝네요.	2	3	REGIONAL	[병신같은 일게이, 낙태충 년들] -> 집단 비하 및 혐오 순화	여성/가족, 지역
정말 속상하네요 아이들을 보호해야할 학교가 인권으로 포장한 성정체성 혼란 가중시키는 교육이라니요 정상과 비정상의 개념부터 무너뜨리는 악행입니다 대체 왜	학교에서 성 정체성에 혼란을 줄 수 있는 교육을 하는 것에 대해 우려가 큽니다. 올바른 지도가 필요해 보이네요.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	성소수자
동성애를 옹호하는 정의당이 N번방 사건에 대해서 따지니 어의없습니다. 정의당은 인민더불어민주당과 함께 북한가세요. 가자마자 험한 일 당하겠지만..	특정 정당의 행보가 이해되지 않습니다. 모순된 모습이 안타깝네요. 극단적인 비난은 자제해야 합니다.	2	3	LGBTQ	[정의당, 민주당, 북한가세요] -> 비하적 말투 순화	성소수자
이런짤 어디서 찾는거노	이런 이미지는 어디서 찾으시나요?	2	1	COMMUNITY	[찾는거노] -> 커뮤니티 말투 순화	clean
어디에 붙어있는 개지잡 꼴통학교냐 ㅋㅋ	수준이 낮은 교육 기관에 대한 비판이 담긴 말씀이군요.	2	3	REGIONAL	[개지잡 꼴통학교] -> 교육 기관 비하 멸칭 순화	기타 혐오
보통과 곱배기로 차별해서 판매하는것은 어떠한지요?	양에 따라 가격을 차등하여 판매하는 방식이 합리적일 수 있겠네요.	0	0	NORMAL	[오탈자 교정] -> 원문 유지	clean
개슬람새끼들 수염 존나더럽게기르네	특정 종교인의 외모를 비하하는 표현이군요. 정중한 태도가 필요합니다.	2	3	RELIGION	[개슬람새끼들, 수염 존나더럽게] -> 종교 비하 및 외모 비하 순화	종교
이딴 기사 그만 내보내라. 나라를 구했나 남자 좋아하는게 무슨 자랑이라고... 신문지면에 내라 포털에 올리지말고	성소수자 관련 기사가 너무 자주 올라오는 것 같아 아쉽네요. 일반적인 기사가 더 많았으면 좋겠습니다.	2	4	LGBTQ	[이딴 기사 그만, 남자 좋아하는게 무슨 자랑] -> 성소수자 배타적 표명 완곡하게 순화	악플/욕설
저래 놓고도,,, 오해입니다. 이슬람은 평화라는 뜻입니다. 이슬람은 평화를 사랑하고.... 주절주절 방송에 나와 쉴드치는	방송에 나와 평화를 외치면서도 뒤로는 다른 모습을 보여주는 행태가 비판받아 마땅합니다.	2	2	RELIGION	[주절주절, 쉴드치는] -> 비칭 순화	종교
쟤네 다 전라도로 보내면 안되나? 난민들 소금노예 삼는거 인정해주께 조금이라도 나라에 도움이 되어봐라 라도새끼들아	특정 지역 사람들에 대한 부정적 인식을 드러내며 혐오스러운 표현을 사용하시는 것은 부적절합니다. 지역 감정을 조장하는 발언은 삼갑시다.	2	3	REGIONAL	[전라도로 보내면, 소금노예, 라도새끼들아] -> 특정 지역 비하 및 혐오 표현 순화	인종/국적, 지역
네오나치 대변하는 정당이 국민전선인데, 이런거 끌고 와서 자위하는 일베충들 봐라ㅋㅋㅋ야 르펜 같은 애들이 너네 유럽 발도 못 붙이게 하고 싶어서 난리인거 아냐?ㅋㅋㅋㅋㅋㅋㅋㅋ	특정 정치 성향의 분들이 해외 사례를 인용하며 본인들의 주장을 정작 본인들에게 배타적인 집단을 통해 증명하려 하는군요.	2	4	GENDER	[자위하는 일베충들] -> 커뮤니티 비하 멸칭 순화	기타 혐오
개좆팔새끼들 알바만 봐도 군대갔다온 냄져 우선순위라고 써놓은곳 개많음 좆팔 인생편하게 산다	정말이지 구직 공고만 봐도 군 전역 남성을 선호하는 곳이 많네요. 사회가 너무 남성 중심적인 것 같습니다.	2	4	GENDER	[개좆팔새끼들, 냄져, 좆팔, 인생편하게 산다] -> 남성 비하 및 욕설 순화	남성
깔깔 한남들 도태각 뾰좆하다이니	한국 남성들이 소외될 위기에 처해 있다는 비꼬는 말투네요.	2	4	GENDER	[깔깔 한남들 도태각] -> 남성 비하 멸칭 및 조롱 말투 순화	남성
ㅅㅂ 나 browsec 쓰는데	나 특정 프로그램 쓰는데	2	1	SLUR	[ㅅㅂ] -> 욕설 제거	악플/욕설
여자는 원래 철이 안드는거노 껄레껄레	여성은 원래 성숙함이 부족하다는 비하적인 시각이군요.	2	4	GENDER	[철이 안드는거노 껄레껄레] -> 여성 비하 정제	여성/가족
