line_id	source	true_label	pred_label	is_correct	confidence	category	tags
3	아동성범죄와 페도버는 기록바 끊어져 영원히 고통 받는다. 무슬림 50퍼 근친이다. 10 16까지 IQ 떨어지고 출산 위험은 400% 다.	1	2	False	0.5689	RELIGION	N/A
10	출산청같은 소리하네. 우리나라 계집들 다 의무적으로 군대보내면 해결될 일이다. 정신개조부터 시켜야지. 지할꺼 다하고 무슨 애를 낳고 무슨 자식교육을 하냐?	1	2	False	0.8246	GENDER	N/A
16	AICPA 따고 넘어갔나보네	2	0	False	0.5362	COMMUNITY	N/A
17	원 리더십, 원 메시지로 내부 결속을 더 강화하고 외부로 리마커블(remarkable)한 이미지를 구축하여 다시 교회로 모일수 있기를 소망하고 기도합니다	2	0	False	0.5366	RELIGION	N/A
26	이슬람이고 뭐고 그냥 종교충들은 다 죽었으면 좋겠어	1	2	False	0.589	RELIGION/VIOLENCE	N/A
27	홍어무침 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1	2	False	0.7906	REGIONAL	N/A
30	홍들 피들 폭들 ㅎㅎㅎ	1	2	False	0.7342	REGIONAL/COMMUNITY	N/A
35	사망이후 조사받기 전까지 이 분 통화내역 확인 필요	2	0	False	0.635	SLUR	N/A
40	돈고는 질병이다 이기야	1	2	False	0.9166	LGBTQ/COMMUNITY	N/A
42	오세라비님은 페미니스트 아닙니다만 ^^;;	2	0	False	0.5494	SLUR	N/A
43	뉴스 보니까 길이 낯설지 않더라.	2	0	False	0.6132	SLUR	N/A
50	할카스가 머임?상폐보지중 부패한보지임?	1	2	False	0.5186	AGE/GENDER/SLUR	N/A
51	솔직히 패 죽일 수 있다 정당방위 상황에서 어디를 어떻게 쳐서 병신 만들지 시뮬레이션 많이 해보노	1	2	False	0.7229	VIOLENCE/COMMUNITY	N/A
55	지금 이미 난리남	2	0	False	0.5273	SLUR	N/A
63	로봉순 젠신병자니까 맘껏패라 사람아님	1	2	False	0.6885	LGBTQ/VIOLENCE	N/A
77	엔두스타일! 엔 엔 엔 엔 엔! 엔두스타일~!	1	2	False	0.5267	COMMUNITY/POLITICAL	N/A
82	이새끼 똥꼬충인거같은데 똥꼬충새끼들이 양성애자들 존나 고깝게 보더라글제목부터가 성소수자 라고 대우해주는게 이새끼 똥꼬충으로 추정된다	1	2	False	0.7874	LGBTQ/SLUR	N/A
85	여자는 자고로 남자 좃을 물고 살아야 하는 뱁이여!	1	2	False	0.6857	GENDER/SLUR	N/A
86	국산남특징 정확하노ㅋㅋㅋㅋ지잘못 인정안한다 일찍이 애비뒤진놈들이라 상도덕이 없다이기	1	2	False	0.7178	GENDER/COMMUNITY	N/A
