오 좋다 이기 제 ^남사친^ 이야기인데 남혐 범죄가 성행한다는군요,,	정말 심하게 때리고 싶네요.	2	2	SLUR	[개 줘패고싶네] -> 폭력적 표현 순화	clean
형냐들 학교에서 폰안걷는데 학교에서 틈틈히 일베할께~~	중국인들은 돌아가세요.	2	2	RACISM	[짱깨] -> 인종/국적 비하 멸칭 순화	clean
조개구이 혼자먹으면 큰일나~	호남 지역 음식이 국내 최고라고 생각하시나요?	0	0	REGIONAL	[무해] -> 지역 음식 관련 질문	clean
해외에 있는 토토사장도 잡아내는 경찰이 왜 저건 안잡노?	중국이 또 반일 여론 조작을 시작하는 것 같습니다. 중국 입장에서는 막대한 비용을 쓰는 것보다 선동가들에게 소액을 지급하는 것이 훨씬 효율적이니까요.	2	2	RACISM	[짱깨놈들] -> 인종/국적 비하 멸칭 순화	악플/욕설
아니 저번에도 말했지만 아이디 사려면 방문수 높은거 사는 성의라도 보이라고..	길에서 납치당하고 그 남성과 성관계를 가졌다니 뭔가 의심스러운 부분이 있네요.	0	0	NORMAL	[무해] -> 사건에 대한 의구심	악플/욕설
저능아 막무가내 박사모 틀딱들과 돈독오른 먹사새끼들의 노예인 신도들이 끊임없이 보수에 들러붙어 괴롭히는구나아주 상진드기가 붙어버렸어	성소수자들이 몰려와서 연대하고 있네요. 불쾌한 사람들입니다.	2	2	LGBTQ	[드러운것들] -> 성소수자 비하 멸칭 순화	연령, 종교
게이가되는게 자유라면 게이를 싫어하고 혐오하는것도 자유지	폭력 장면을 보고 흥분할 것 같네요.	2	2	SLUR	[쌀듯] -> 저속한 성적 반응 묘사 순화	성소수자
진우 이놈아야 얼굴 떡하니 안티페미짓하다 니 인생 골로갈지 모르노 밤길 조심해라 이기	사소한 것에도 불편해하는 사람들이 많네요.	2	2	SLUR	[프로 불편러들] -> 비하적 지칭 순화	악플/욕설
한국여자들 다 아다임	성소수자의 성행위가 질병 전염에 취약하다는 사실을 직접적으로 말하기 어려워 우회적으로 표현하는 것 아닙니까?	2	2	LGBTQ	[게이 후장섹스, 에이즈] -> 성소수자 비하 및 저속한 묘사 순화	여성/가족
주님 어서오세요. 세상이 살기 힘듭니다.	극단적인 여성주의가 싫은 것이지 여성 자체가 싫은 것은 아닙니다. 이것이 여성 권리 신장 때문에 갈등이 생긴 것이라고 생각하십니까? 왜곡된 여성주의 때문입니다.	2	2	GENDER	[꼴페미, 뷔페미니즘] -> 특정 집단 비하 멸칭 순화	clean
와 씨발 이건 존나 교묘하다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	외국인이라고 속이면 성관계도 가능할 것 같네요.	2	2	SLUR	[후장도 따겠노] -> 저속한 성적 표현 순화	악플/욕설
똥성애 에이즈 99 레즈 에이즈0 이것만 봐도 자지들이 문제란거 알텐데 왜 함께하는거노	동남아시아 다문화 정책은 우리나라 발전을 저해하는 지름길입니다. 선진국 간의 교류라면 모를까요.	2	2	RACISM	[개 좆같은소리, 동남아 다문화] -> 인종 비하 및 욕설 순화	남성, 성소수자
꼭 똥꼬팬티입고 퀴어축제를 해야하나요? 당신들 자식이 소중하듯 내자식도 소중합니다.	90만 장이라니 놀랍네요.	0	0	NORMAL	[무해] -> 일상적 감탄	성소수자
근데 이수정도면 굳이 성매매 안해도 대줄 여자 널렸지않냐?고딩 따먹다가 이미지 조져버린거보면 좀 안타까움 그놈의 좆이 문제다	남성 혐오가 여성 혐오를 만들고 여성 혐오가 남성 혐오를 만듭니다. 부당하다고 생각해서 똑같이 혐오 발언을 하는 것은 문제입니다. 남녀 갈등이 왜 이렇게 심해졌는지 모르겠네요. 서로를 탓하지 말고 나부터 혐오 발언을 멈춰야 합니다.	0	0	NORMAL	[무해] -> 건전한 성찰	여성/가족
박시장님 스스로 결단을 내리세요. 이거네..... 뭐그리 말이 많은지?	성평등, 성적 지향, 성소수자라는 용어는 절대 좋은 것이 아닙니다.	2	2	LGBTQ	[무해] -> 성소수자 비하 보수적 정제	clean
권력형gate 맞아 ! 민정수석 버닝썬 사건부터 시작해 ?	겉치레 부부네요.	2	2	SLUR	[쇼윈도우 부부] -> 비하적 지칭 순화	clean
난 잘생기고 어깨넓고 키크고 자지 크고 맛있는놈만 좋아한다이기 보빨 24시간 필수코스	무슬림 청년들 간의 격렬한 대결이네요.	2	2	RELIGION	[데스매치] -> 폭력적 표현 순화	남성
키보드야 잠깐 커피마시고 와	네이버 댓글이 참 이성적이네요.	0	0	NORMAL	[무해] -> 일상적 평가	clean
여성가족부가 아니라 창녀가족부네ㅋㅋ 남창가족부는 없나?	판단력이 있을 만한 사람들이 왜 그런 부당한 대우를 노예처럼 받으면서도 벗어나지 못하는지 이해가 안 됩니다.	0	0	NORMAL	[무해] -> 사회 비판	여성/가족
근데 진짜 하지도 않은 성범죄로 인생 다 조지는거나 사람 죽여서 조지는거나 비슷해지면 걍 죽이고 갈듯	외모가 뛰어난 성소수자들도 당신처럼 경제력이 없고 사회성이 부족한 사람은 거릅니다. 걱정하지 마세요.	2	2	LGBTQ	[이쁜젠더들, 파오후 찐따] -> 성소수자 지칭 및 비하 순화	악플/욕설
포스보소..ㅋㅋㅋㅋㅋㅋㅋ 국개의원들 씹지리겠네...	호남 지역은 정말 문제가 많네요.	2	2	REGIONAL	[절라도] -> 지역 비하 멸칭 순화	기타 혐오
안치면서 치는 척 하는 의도가 뭐노? 이러면 뭐 얻는 게 있노?	만주 지역과의 관계가 복잡하네요.	2	2	SLUR	[ㅈㄱㅈ 만주화] -> 비속어 정제	clean
